#node_type,node_name,id,central_object,altitude,inclination,eccentricity,right_ascension_of_the_ascending_node,argument_of_perigee,mean_anomaly,rules
#constellation
Orbiter,c1o1,1001,Earth,500.0,45.0,0.0,0.0,0.0,0.0,
Orbiter,c1o2,1002,Earth,500.0,45.0,0.0,0.0,0.0,90.0,
Orbiter,c1o3,1003,Earth,500.0,45.0,0.0,0.0,0.0,180.0,
Orbiter,c1o4,1004,Earth,500.0,45.0,0.0,0.0,0.0,270.0,
Orbiter,c1o5,1005,Earth,500.0,45.0,0.0,180.0,0.0,0.0,
Orbiter,c1o6,1006,Earth,500.0,45.0,0.0,180.0,0.0,90.0,
Orbiter,c1o7,1007,Earth,500.0,45.0,0.0,180.0,0.0,180.0,
Orbiter,c1o8,1008,Earth,500.0,45.0,0.0,180.0,0.0,270.0,
